"Date","Price","Open","High","Low","Vol.","Change %"
"2025/06/11","96,221.06","96,881.31","97,094.28","96,221.06","","-0.45%"
"2025/06/10","96,657.00","96,577.79","97,055.12","96,407.34","311.95M","0.25%"
"2025/06/09","96,413.48","96,599.34","96,774.75","96,310.89","264.62M","0.05%"
"2025/06/06","96,366.08","96,797.22","96,901.34","96,336.01","260.76M","-0.05%"
"2025/06/05","96,411.77","95,910.14","96,776.84","95,650.16","284.04M","0.80%"
"2025/06/04","95,650.16","95,272.37","95,882.40","94,882.30","228.25M","0.81%"
"2025/06/03","94,882.30","94,812.01","95,097.13","94,545.87","","-0.29%"
"2025/06/02","95,162.33","94,290.33","95,162.33","94,256.84","221.26M","0.88%"
"2025/05/30","94,330.84","94,469.35","95,055.97","94,184.69","495.08M","-0.42%"
"2025/05/29","94,726.12","94,079.95","94,963.41","93,868.87","350.59M","0.91%"
"2025/05/28","93,868.87","93,602.18","94,315.72","93,590.33","215.02M","0.11%"
"2025/05/27","93,764.15","93,079.46","93,965.08","93,079.46","215.21M","0.04%"
"2025/05/26","93,724.31","93,595.29","94,203.95","93,492.61","139.90M","0.21%"
"2025/05/23","93,528.74","93,361.47","93,994.12","92,835.75","182.54M","0.42%"
"2025/05/22","93,135.11","93,193.17","93,397.44","92,490.41","230.85M","-0.28%"
"2025/05/21","93,397.44","93,294.26","93,827.39","92,763.22","267.44M","0.68%"
"2025/05/20","92,763.22","92,527.04","92,763.22","92,172.75","218.15M","0.29%"
"2025/05/19","92,492.11","92,505.19","92,696.70","91,753.14","195.78M","-0.14%"
"2025/05/16","92,618.55","92,483.94","92,618.55","92,084.64","184.84M","0.30%"
"2025/05/15","92,338.44","92,047.80","92,563.33","91,686.96","216.73M","-0.15%"
"2025/05/14","92,473.98","92,680.12","93,072.02","92,295.13","313.89M","-0.18%"
"2025/05/13","92,638.80","92,048.77","92,674.05","91,980.87","241.44M","0.51%"
"2025/05/12","92,170.83","92,476.35","92,992.11","91,861.21","226.52M","0.34%"
"2025/05/09","91,861.21","90,901.01","92,041.66","90,890.08","248.64M","1.07%"
"2025/05/08","90,890.08","91,452.63","91,857.58","90,890.08","191.13M","-0.66%"
"2025/05/07","91,496.59","91,981.38","92,412.94","91,478.34","277.84M","-0.58%"
"2025/05/06","92,027.51","92,628.63","92,653.29","91,004.45","235.81M","-0.04%"
"2025/05/05","92,063.06","92,304.55","92,596.54","91,831.61","245.46M","-0.29%"
"2025/05/02","92,332.59","91,408.27","92,702.80","91,408.27","178.45M","0.82%"
"2025/04/30","91,583.39","91,201.51","91,954.44","91,201.51","282.40M","0.30%"
"2025/04/29","91,311.15","90,654.20","91,447.71","90,654.20","194.00M","0.65%"
"2025/04/25","90,720.33","90,823.05","91,155.37","90,552.77","230.80M","0.19%"
"2025/04/24","90,552.77","89,527.92","90,647.95","89,485.72","276.46M","0.79%"
"2025/04/23","89,846.81","90,428.39","90,868.71","89,652.31","362.68M","-0.07%"
"2025/04/22","89,912.00","90,403.41","90,867.47","89,486.79","283.63M","0.48%"
"2025/04/17","89,486.79","89,839.73","89,936.74","89,216.04","253.19M","-0.23%"
"2025/04/16","89,696.69","89,466.10","90,534.36","89,407.05","247.86M","0.20%"
"2025/04/15","89,521.80","88,431.48","89,631.73","88,263.79","274.12M","0.91%"
"2025/04/14","88,717.11","87,149.86","88,717.11","86,406.46","305.21M","2.67%"
"2025/04/11","86,406.46","86,568.99","86,919.71","85,648.20","301.37M","0.42%"
"2025/04/10","86,041.54","84,776.98","86,704.45","82,485.81","461.90M","4.31%"
"2025/04/09","82,485.81","82,809.31","84,227.34","81,923.54","460.98M","-2.07%"
"2025/04/08","84,227.34","82,485.25","84,693.45","81,303.74","503.39M","2.51%"
"2025/04/07","82,161.52","79,356.56","83,629.39","77,165.00","533.24M","0.75%"
"2025/04/04","81,553.66","85,630.47","86,082.52","80,868.87","534.33M","-5.26%"
"2025/04/03","86,082.52","88,133.30","88,133.30","85,074.31","","-3.39%"
"2025/04/02","89,105.74","89,813.67","90,028.78","88,736.01","267.22M","-0.94%"
"2025/04/01","89,950.79","89,227.49","90,219.42","88,637.45","273.61M","1.48%"
"2025/03/31","88,637.45","89,466.54","89,572.58","88,595.99","274.67M","-1.04%"
"2025/03/28","89,572.58","89,792.15","90,154.19","89,360.77","212.87M","-0.36%"
"2025/03/27","89,897.64","89,851.27","89,994.03","89,261.29","240.20M","-0.03%"
"2025/03/26","89,926.53","89,830.51","90,310.71","89,622.16","218.68M","0.24%"
"2025/03/25","89,713.04","88,931.03","89,773.33","88,822.91","244.12M","0.82%"
"2025/03/24","88,985.61","89,218.50","89,781.45","88,958.96","229.99M","-0.60%"
"2025/03/20","89,518.75","89,640.49","90,264.13","89,395.76","770.06M","-0.70%"
"2025/03/19","90,149.69","88,876.00","90,464.39","88,876.00","308.85M","1.41%"
"2025/03/18","88,893.11","88,864.60","89,639.09","88,525.10","284.01M","0.42%"
"2025/03/17","88,525.10","87,692.82","88,547.93","87,692.82","273.30M","0.69%"
"2025/03/14","87,916.46","87,745.77","88,178.28","87,414.71","","0.97%"
"2025/03/13","87,067.75","86,952.81","87,300.44","86,703.33","300.09M","0.25%"
"2025/03/12","86,853.81","86,964.59","87,472.92","86,821.33","265.88M","-0.27%"
"2025/03/11","87,091.04","87,358.38","87,752.56","86,951.08","332.60M","-0.23%"
"2025/03/10","87,291.39","88,066.24","88,570.16","87,291.39","230.32M","-1.44%"
"2025/03/07","88,570.16","88,200.74","88,603.00","87,713.91","264.75M","0.35%"
"2025/03/06","88,260.08","88,777.48","88,930.31","87,717.58","259.78M","0.62%"
"2025/03/05","87,717.58","87,569.81","88,113.97","86,730.82","283.72M","1.14%"
"2025/03/04","86,730.82","87,389.73","87,564.82","86,634.32","273.04M","-0.95%"
"2025/03/03","87,564.82","86,485.40","87,848.52","85,942.71","244.04M","1.89%"
"2025/02/28","85,942.71","86,658.56","87,325.35","85,942.71","696.11M","-1.58%"
"2025/02/27","87,325.35","88,193.98","88,378.04","87,325.35","248.75M","-1.13%"
"2025/02/26","88,321.76","88,003.70","88,466.09","87,753.79","237.30M","0.65%"
"2025/02/25","87,753.79","87,067.06","88,058.60","87,067.06","242.08M","0.38%"
"2025/02/24","87,423.27","88,211.35","88,913.81","87,423.27","214.09M","-1.68%"
"2025/02/21","88,913.81","89,022.51","89,185.81","88,751.68","227.42M","0.05%"
"2025/02/20","88,873.33","88,408.95","88,953.94","88,261.96","287.23M","0.60%"
"2025/02/19","88,341.89","88,888.79","89,253.73","88,341.89","284.36M","-0.81%"
"2025/02/18","89,061.67","88,622.73","89,198.82","88,399.57","218.99M","0.75%"
"2025/02/17","88,399.57","89,010.76","89,031.43","88,033.00","189.73M","-0.36%"
"2025/02/14","88,717.13","88,634.49","89,008.21","87,841.46","211.75M","1.00%"
"2025/02/13","87,841.46","88,398.08","88,643.75","87,742.03","272.92M","-0.11%"
"2025/02/12","87,942.18","88,018.59","88,525.03","87,562.74","261.00M","0.43%"
"2025/02/11","87,562.74","87,866.36","87,866.36","87,347.82","230.99M","-0.23%"
"2025/02/10","87,765.36","87,583.52","87,956.33","87,448.25","254.24M","0.33%"
"2025/02/07","87,474.49","87,226.56","87,872.05","87,191.22","267.59M","0.32%"
"2025/02/06","87,191.22","86,585.56","87,555.02","86,585.56","276.78M","0.67%"
"2025/02/05","86,610.70","86,547.09","86,965.99","86,452.63","264.90M","0.18%"
"2025/02/04","86,452.63","85,966.93","86,531.84","85,490.14","324.08M","1.13%"
"2025/02/03","85,490.14","84,837.17","85,956.65","84,743.30","241.34M","-0.54%"
"2025/01/31","85,956.65","85,792.89","86,126.77","85,685.49","287.47M","0.32%"
"2025/01/30","85,685.49","85,387.91","85,741.58","85,241.08","202.90M","0.43%"
"2025/01/29","85,314.73","84,563.46","85,472.72","84,447.75","203.55M","1.03%"
"2025/01/28","84,447.75","83,989.69","84,651.70","83,886.16","261.23M","0.31%"
"2025/01/27","84,187.66","83,798.68","84,290.99","83,480.80","223.35M","-0.12%"
"2025/01/24","84,290.99","84,567.71","84,964.86","83,944.07","226.83M","0.41%"
"2025/01/23","83,944.07","84,500.38","84,654.64","83,861.63","239.98M","-0.84%"
"2025/01/22","84,654.64","84,819.88","85,303.40","84,650.33","235.57M","-0.23%"
"2025/01/21","84,845.84","84,834.68","85,092.76","84,486.69","237.16M","0.13%"
"2025/01/20","84,733.17","84,989.59","85,232.45","84,532.82","175.04M","0.04%"
"2025/01/17","84,700.44","83,576.26","84,700.44","83,576.26","184.90M","1.25%"
"2025/01/16","83,658.72","83,380.08","84,302.38","83,380.08","199.68M","0.17%"
"2025/01/15","83,515.29","82,497.48","83,623.05","82,123.89","248.08M","1.69%"
"2025/01/14","82,123.89","82,435.32","82,829.43","82,045.80","219.19M","0.10%"
"2025/01/13","82,045.80","83,242.86","83,466.58","81,784.95","243.41M","-1.70%"
"2025/01/10","83,466.58","83,563.52","84,174.21","83,397.19","204.49M","-0.28%"
"2025/01/09","83,698.32","83,396.91","83,950.44","83,152.56","159.31M","0.66%"
"2025/01/08","83,152.56","84,286.77","84,286.77","83,076.53","189.56M","-1.18%"
"2025/01/07","84,141.54","84,097.09","84,745.52","83,988.05","156.41M","-0.71%"
"2025/01/06","84,745.52","84,563.45","85,419.86","84,537.42","150.98M","0.04%"
"2025/01/03","84,711.80","84,568.77","84,894.93","83,958.44","114.79M","0.30%"
"2025/01/02","84,460.59","84,198.62","84,905.26","84,040.72","118.90M","0.43%"
"2024/12/31","84,095.14","83,718.68","84,486.04","83,718.68","88.56M","0.18%"
"2024/12/30","83,945.55","84,640.15","84,736.18","83,776.16","108.14M","-0.93%"
"2024/12/27","84,736.18","85,012.30","85,243.81","84,413.82","109.48M","-0.23%"
"2024/12/24","84,935.27","84,860.84","85,211.28","84,712.32","37.29M","0.26%"
"2024/12/23","84,712.32","84,748.83","84,932.54","84,128.89","108.10M","0.13%"
"2024/12/20","84,603.29","84,864.98","84,864.98","83,776.74","582.32M","0.16%"
"2024/12/19","84,465.35","84,796.01","85,599.84","84,350.53","504.86M","-1.33%"
"2024/12/18","85,599.84","85,914.44","86,327.98","85,338.61","311.16M","-0.17%"
"2024/12/17","85,746.04","86,607.56","87,129.65","85,746.04","215.05M","-1.59%"
"2024/12/13","87,129.65","86,492.26","87,764.36","86,482.51","228.97M","0.19%"
"2024/12/12","86,965.35","87,400.94","87,658.15","86,881.82","201.83M","-0.17%"
"2024/12/11","87,115.95","87,026.08","87,271.05","86,616.63","203.70M","-0.18%"
"2024/12/10","87,271.05","87,105.72","87,642.76","86,936.01","208.09M","-0.42%"
"2024/12/09","87,642.76","86,817.31","87,694.17","86,627.70","236.51M","0.81%"
"2024/12/06","86,938.44","86,825.62","87,298.85","86,753.93","215.42M","0.11%"
"2024/12/05","86,846.42","86,057.14","87,136.11","86,057.14","246.73M","0.62%"
"2024/12/04","86,314.51","85,892.08","86,598.30","85,818.80","265.91M","0.58%"
"2024/12/03","85,818.80","85,691.60","86,567.63","85,658.25","278.03M","0.10%"
"2024/12/02","85,731.51","84,603.87","85,963.46","84,510.44","191.58M","1.44%"
"2024/11/29","84,510.44","84,815.98","84,937.23","84,510.44","240.44M","-0.33%"
"2024/11/28","84,787.41","85,097.98","85,144.35","84,720.71","218.12M","-0.37%"
"2024/11/27","85,102.34","85,459.91","85,696.03","85,024.77","260.68M","-0.35%"
"2024/11/26","85,397.50","84,684.11","85,414.12","84,467.99","273.92M","0.62%"
"2024/11/25","84,875.24","85,673.67","85,851.71","84,875.24","352.21M","-0.86%"
"2024/11/22","85,608.47","85,696.40","86,100.56","85,418.50","213.83M","0.10%"
"2024/11/21","85,522.57","85,469.08","85,821.12","85,257.68","234.57M","0.29%"
"2024/11/20","85,274.83","84,716.31","85,478.91","84,526.75","216.82M","0.89%"
"2024/11/19","84,526.75","84,681.39","85,164.36","84,382.42","192.92M","0.12%"
"2024/11/18","84,425.00","84,262.66","84,606.98","83,872.74","176.68M","0.66%"
"2024/11/15","83,872.74","83,975.64","84,261.65","83,605.94","189.06M","0.05%"
"2024/11/14","83,834.31","83,567.56","84,145.67","83,432.43","238.15M","0.04%"
"2024/11/13","83,803.11","84,014.28","84,201.75","83,784.17","176.02M","-0.47%"
"2024/11/12","84,201.75","84,455.18","84,771.53","83,861.04","283.02M","-0.67%"
"2024/11/11","84,771.53","84,995.48","85,357.46","84,771.53","159.32M","-0.41%"
"2024/11/08","85,124.52","85,694.45","85,998.22","84,918.20","176.66M","-1.02%"
"2024/11/07","85,998.22","85,521.47","86,208.68","85,329.75","224.56M","0.78%"
"2024/11/06","85,329.75","86,341.47","86,642.86","85,111.29","259.03M","-1.52%"
"2024/11/05","86,642.86","86,168.72","86,642.86","86,168.72","273.42M","0.49%"
"2024/11/04","86,223.60","86,074.05","86,403.36","86,009.98","170.33M","0.03%"
"2024/11/01","86,198.57","85,899.88","86,329.39","85,384.82","202.44M","0.95%"
"2024/10/31","85,384.82","86,403.43","86,759.04","85,254.94","251.58M","-1.58%"
"2024/10/30","86,759.04","87,066.49","87,300.97","86,394.51","292.57M","-0.62%"
"2024/10/29","87,300.97","87,603.71","87,883.90","86,999.06","246.66M","-0.39%"
"2024/10/28","87,643.65","86,839.35","87,753.44","86,761.38","261.98M","0.72%"
"2024/10/25","87,015.81","87,023.36","87,196.78","86,651.92","209.11M","0.09%"
"2024/10/24","86,937.24","86,677.99","87,353.53","86,464.19","217.61M","0.55%"
"2024/10/23","86,464.19","86,936.38","87,023.29","86,238.84","264.28M","-0.33%"
"2024/10/22","86,752.88","86,907.67","87,076.55","86,046.69","225.77M","-0.37%"
"2024/10/21","87,076.55","87,293.73","87,451.36","86,920.79","181.58M","-0.14%"
"2024/10/18","87,201.49","87,001.42","87,467.86","86,582.35","213.78M","0.72%"
"2024/10/17","86,582.35","86,506.05","87,037.27","86,192.11","184.53M","0.22%"
"2024/10/16","86,393.01","86,078.96","86,430.22","85,837.31","374.53M","0.52%"
"2024/10/15","85,949.77","85,838.05","86,398.66","85,528.27","215.54M","-0.52%"
"2024/10/14","86,398.66","86,187.08","86,587.83","85,849.34","167.68M","0.29%"
"2024/10/11","86,149.45","85,332.35","86,279.28","85,321.08","218.78M","0.89%"
"2024/10/10","85,392.82","85,627.25","85,627.25","85,221.71","296.96M","0.07%"
"2024/10/09","85,336.85","85,300.89","85,491.22","84,677.53","266.53M","-0.18%"
"2024/10/08","85,491.22","85,181.95","86,308.92","84,863.13","274.71M","-0.95%"
"2024/10/07","86,308.92","86,453.72","86,655.74","86,166.85","235.79M","-0.03%"
"2024/10/04","86,332.42","86,739.94","86,970.58","86,243.68","195.54M","-0.15%"
"2024/10/03","86,461.05","86,948.18","87,328.62","86,092.65","204.60M","-0.75%"
"2024/10/02","87,115.22","87,566.99","87,587.73","86,619.39","243.23M","0.57%"
"2024/10/01","86,619.39","86,984.11","87,441.14","86,326.87","289.66M","0.08%"
"2024/09/30","86,548.42","87,730.03","87,782.32","86,548.42","316.52M","-1.18%"
"2024/09/27","87,579.71","87,549.86","87,789.80","86,886.25","272.91M","0.29%"
"2024/09/26","87,327.21","86,837.41","87,802.52","85,960.32","278.20M","1.59%"
"2024/09/25","85,960.32","85,899.07","86,197.11","84,777.53","357.47M","1.40%"
"2024/09/23","84,777.53","83,764.71","84,826.99","83,719.43","195.12M","1.13%"
"2024/09/20","83,829.99","83,898.07","84,395.93","83,696.76","772.29M","0.08%"
"2024/09/19","83,760.08","83,465.41","84,218.18","82,718.58","501.25M","1.26%"
"2024/09/18","82,718.58","82,835.52","83,032.71","82,151.38","218.69M","-0.38%"
"2024/09/17","83,032.71","82,298.64","83,247.96","82,007.34","226.92M","1.25%"
"2024/09/16","82,007.34","81,907.39","82,315.77","81,907.39","244.22M","0.04%"
"2024/09/13","81,978.59","81,979.41","82,160.68","81,668.39","265.03M","0.38%"
"2024/09/12","81,668.39","81,649.21","82,037.50","80,827.79","269.43M","1.04%"
"2024/09/11","80,827.79","81,456.64","81,641.90","80,538.94","307.10M","-1.00%"
"2024/09/10","81,641.90","81,300.66","81,730.24","81,150.00","253.29M","0.25%"
"2024/09/09","81,441.63","81,430.90","81,975.29","81,339.39","207.06M","0.09%"
"2024/09/06","81,364.89","81,794.47","82,146.83","81,364.89","208.68M","-0.95%"
"2024/09/05","82,146.83","81,758.92","82,244.53","81,398.34","252.34M","0.28%"
"2024/09/04","81,915.38","81,724.78","82,156.76","81,616.83","309.57M","-0.29%"
"2024/09/03","82,156.76","83,331.28","83,603.13","82,082.58","264.91M","-1.59%"
"2024/09/02","83,483.36","83,540.05","83,749.86","83,138.75","198.50M","-0.32%"
"2024/08/30","83,749.86","84,397.80","84,462.51","83,433.57","290.92M","-0.58%"
"2024/08/29","84,239.42","83,928.61","84,431.80","83,906.23","205.73M","0.26%"
"2024/08/28","84,018.65","84,363.25","84,639.24","83,932.83","235.32M","-0.63%"
"2024/08/27","84,553.54","84,263.35","84,670.69","84,181.23","198.67M","0.43%"
"2024/08/26","84,193.95","84,452.13","84,520.66","84,073.91","201.80M","-0.19%"
"2024/08/23","84,351.57","83,986.18","84,663.62","83,620.81","225.07M","0.87%"
"2024/08/22","83,620.81","84,155.05","84,800.50","83,596.97","180.20M","-0.48%"
"2024/08/21","84,026.18","84,034.11","84,197.24","83,783.30","179.16M","0.29%"
"2024/08/20","83,783.30","83,748.40","84,215.43","83,651.81","186.89M","-0.02%"
"2024/08/19","83,799.30","83,013.26","83,955.76","82,824.44","207.37M","1.18%"
"2024/08/16","82,824.44","82,719.93","83,169.68","82,226.43","247.70M","0.73%"
"2024/08/15","82,226.43","81,380.14","82,868.63","81,380.14","215.57M","1.01%"
"2024/08/14","81,402.32","80,740.19","81,827.99","80,740.19","300.34M","0.55%"
"2024/08/13","80,956.22","80,657.86","80,956.22","80,259.19","185.18M","0.49%"
"2024/08/12","80,560.78","81,034.59","81,034.59","80,398.39","162.23M","-0.22%"
"2024/08/08","80,739.31","79,919.04","80,853.42","79,503.96","287.24M","0.47%"
"2024/08/07","80,364.86","79,817.01","80,405.49","79,430.05","227.18M","1.18%"
"2024/08/06","79,430.05","79,513.22","79,736.45","78,675.95","221.07M","-0.19%"
"2024/08/05","79,577.61","78,961.96","80,538.57","78,306.84","297.99M","-1.19%"
"2024/08/02","80,538.57","81,450.91","81,868.82","80,495.12","213.14M","-1.62%"
"2024/08/01","81,868.82","82,844.47","82,881.44","81,799.99","215.48M","-1.08%"
"2024/07/31","82,765.12","81,640.71","82,765.12","81,198.64","257.92M","1.93%"
"2024/07/30","81,198.64","80,825.42","81,374.83","80,697.10","205.17M","0.23%"
"2024/07/29","81,011.65","81,262.30","81,542.07","80,957.82","180.80M","-0.13%"
"2024/07/26","81,120.51","80,755.35","81,253.06","80,640.01","191.68M","0.55%"
"2024/07/25","80,678.20","79,807.84","80,678.20","79,516.29","173.50M","0.10%"
"2024/07/24","80,595.14","80,486.02","80,816.32","80,366.77","174.94M","-0.14%"
"2024/07/23","80,706.44","80,446.52","80,869.41","79,879.87","199.95M","0.27%"
"2024/07/22","80,492.09","80,248.51","80,679.53","79,922.67","174.08M","0.71%"
"2024/07/19","79,922.67","79,831.16","79,922.67","79,488.40","183.22M","-0.51%"
"2024/07/18","80,334.26","80,770.71","81,007.56","80,301.67","265.68M","-0.15%"
"2024/07/17","80,452.58","81,062.85","81,124.08","80,452.58","246.43M","-0.83%"
"2024/07/16","81,124.08","81,276.81","82,154.07","80,973.32","199.03M","-1.25%"
"2024/07/15","82,154.07","81,379.15","82,154.07","81,058.35","254.95M","0.57%"
"2024/07/12","81,686.49","81,345.87","81,792.55","81,093.99","174.72M","0.73%"
"2024/07/11","81,093.99","80,781.74","81,105.46","80,445.31","276.88M","0.81%"
"2024/07/10","80,445.31","80,550.46","80,660.23","80,280.03","191.75M","-0.22%"
"2024/07/09","80,620.02","80,754.96","80,900.35","80,306.35","208.70M","-0.20%"
"2024/07/08","80,783.51","80,753.45","80,954.49","80,438.72","191.49M","-0.02%"
"2024/07/05","80,797.38","81,122.06","81,289.52","80,665.69","165.99M","-0.44%"
"2024/07/04","81,155.28","80,992.87","81,456.39","80,772.78","213.18M","0.47%"
"2024/07/03","80,772.78","80,051.48","81,032.55","79,435.12","277.37M","1.68%"
"2024/07/02","79,435.12","79,990.64","79,990.64","79,043.65","281.74M","-0.52%"
"2024/07/01","79,853.83","80,244.15","80,581.96","79,707.11","379.08M","0.18%"
"2024/06/28","79,707.11","78,966.01","80,131.50","78,966.01","293.06M","0.93%"
"2024/06/27","78,969.33","79,144.91","79,254.71","78,684.41","245.32M","-0.36%"
"2024/06/26","79,252.39","79,776.42","80,148.70","79,237.26","268.06M","-0.41%"
"2024/06/25","79,577.57","80,177.83","80,263.14","79,385.76","1.19B","-0.85%"
"2024/06/24","80,263.14","79,876.39","80,671.24","79,767.56","253.43M","0.62%"
"2024/06/21","79,767.56","79,961.53","80,548.66","79,664.20","808.43M","-0.38%"
"2024/06/20","80,073.05","80,687.76","81,067.61","80,007.53","504.05M","-0.79%"
"2024/06/19","80,713.72","80,211.54","81,364.39","79,748.83","573.70M","1.21%"
"2024/06/18","79,748.83","77,457.36","80,013.70","77,053.78","458.75M","3.50%"
"2024/06/14","77,053.78","76,421.95","77,635.62","76,349.27","342.50M","0.88%"
"2024/06/13","76,382.02","76,857.61","77,050.80","76,347.68","291.67M","-0.87%"
"2024/06/12","77,050.80","76,226.14","77,271.19","76,077.30","221.73M","1.28%"
"2024/06/11","76,077.30","76,237.67","76,387.51","75,753.44","246.54M","-0.15%"
"2024/06/10","76,188.16","76,425.49","76,851.78","76,036.57","149.08M","-0.86%"
"2024/06/07","76,851.78","77,091.40","77,387.08","76,630.66","211.52M","-0.35%"
"2024/06/06","77,123.64","77,079.25","77,409.76","76,790.02","175.36M","0.38%"
"2024/06/05","76,829.13","77,096.33","77,207.65","76,533.10","222.27M","0.00%"
"2024/06/04","76,832.74","77,747.33","77,854.52","76,832.74","249.20M","-1.17%"
"2024/06/03","77,746.23","77,396.72","77,809.65","76,704.26","249.82M","1.36%"
"2024/05/31","76,704.26","77,068.06","77,323.53","76,653.40","429.23M","-0.59%"
"2024/05/30","77,161.71","77,198.59","78,576.14","76,795.85","312.93M","-1.80%"
"2024/05/28","78,576.14","78,984.52","79,253.32","78,540.24","199.13M","-0.44%"
"2024/05/27","78,920.88","79,111.75","79,358.02","78,920.88","130.54M","-0.29%"
"2024/05/24","79,150.84","78,751.94","79,399.36","78,426.16","173.06M","0.25%"
"2024/05/23","78,956.07","79,313.76","80,025.15","78,956.07","208.98M","-0.67%"
"2024/05/22","79,492.57","79,723.38","80,094.46","79,486.73","254.42M","-0.40%"
"2024/05/21","79,808.07","79,379.87","80,072.99","79,379.87","197.33M","-0.33%"
"2024/05/20","80,072.99","79,762.62","80,213.66","79,530.63","221.65M","0.68%"
"2024/05/17","79,530.63","79,439.15","79,737.06","78,970.42","197.70M","0.03%"
"2024/05/16","79,508.98","79,379.71","79,755.01","79,361.57","285.76M","0.19%"
"2024/05/15","79,361.57","78,869.67","79,574.19","78,632.58","281.31M","0.93%"
"2024/05/14","78,632.58","78,484.48","79,023.03","78,383.74","350.46M","-0.07%"
"2024/05/13","78,686.89","78,436.52","78,860.87","78,365.04","166.80M","0.28%"
"2024/05/10","78,464.22","77,905.24","78,777.73","77,539.15","204.32M","1.19%"
"2024/05/09","77,539.15","77,245.89","77,573.02","76,864.01","206.03M","0.47%"
"2024/05/08","77,177.43","76,889.91","77,230.35","76,673.11","223.62M","0.32%"
"2024/05/07","76,929.48","77,089.83","77,159.02","76,776.45","192.64M","0.20%"
"2024/05/06","76,776.45","76,915.86","77,333.82","76,428.33","163.81M","0.46%"
"2024/05/03","76,428.33","76,544.94","76,978.05","76,046.85","209.94M","0.50%"
"2024/05/02","76,046.85","76,319.27","76,842.08","75,978.31","248.32M","-0.04%"
"2024/04/30","76,076.17","76,253.53","76,671.74","76,076.17","294.38M","-0.50%"
"2024/04/29","76,456.15","75,677.19","76,472.22","75,370.99","255.04M","1.44%"
"2024/04/26","75,370.99","74,922.01","75,576.83","74,329.37","223.64M","1.40%"
"2024/04/25","74,329.37","74,498.83","74,787.66","73,790.52","229.15M","-0.25%"
"2024/04/24","74,513.93","74,421.94","74,730.34","74,010.83","257.42M","0.68%"
"2024/04/23","74,010.83","73,916.55","74,177.64","73,539.83","242.86M","0.63%"
"2024/04/22","73,551.12","73,657.37","73,870.68","73,363.56","227.17M","0.26%"
"2024/04/19","73,363.56","73,207.06","73,375.52","72,534.67","221.26M","0.13%"
"2024/04/18","73,271.43","73,306.67","73,487.36","72,797.43","297.41M","0.38%"
"2024/04/17","72,995.18","72,810.26","73,526.40","72,745.06","287.94M","-0.01%"
"2024/04/16","72,999.60","73,401.27","74,518.63","72,855.08","301.76M","-2.04%"
"2024/04/15","74,518.63","75,024.26","75,311.76","74,460.55","268.25M","-1.05%"
"2024/04/12","75,311.76","75,810.46","75,925.97","75,081.96","309.52M","0.01%"
"2024/04/11","75,303.25","75,588.25","75,744.75","74,894.00","233.74M","-0.29%"
"2024/04/10","75,520.37","75,791.58","76,146.49","74,837.70","329.26M","0.04%"
"2024/04/09","75,486.92","75,418.43","75,905.73","75,258.11","305.51M","0.20%"
"2024/04/08","75,334.92","74,849.09","75,395.77","74,718.83","367.82M","0.75%"
"2024/04/05","74,774.72","74,638.89","75,372.98","74,322.42","236.49M","-0.79%"
"2024/04/04","75,372.98","74,159.03","75,412.67","74,097.93","303.76M","1.72%"
"2024/04/03","74,097.93","74,130.62","74,429.48","73,765.50","258.89M","-0.45%"
"2024/04/02","74,429.48","74,916.40","74,962.16","74,226.47","237.42M","-0.14%"
"2024/03/28","74,535.99","73,940.19","74,535.99","73,909.47","206.73M","0.85%"
"2024/03/27","73,909.47","73,500.49","74,053.60","73,472.65","193.31M","0.41%"
"2024/03/26","73,608.07","73,390.22","73,692.97","73,062.71","181.05M","0.44%"
"2024/03/25","73,282.90","73,192.37","73,493.34","72,874.39","231.99M","0.04%"
"2024/03/22","73,254.19","72,779.07","73,330.68","72,419.70","236.21M","1.15%"
